Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
GROW(902952100),"US GLOBAL INVESTORS INC CL A",2000.00000,02/21/2018,02/16/2018,"$6739.48 ","$7434.00 ","($694.52)",-
GROW180216C5(3511899EC),"CALL (GROW) US GLOBAL INVESTORS FEB 16 18 $5 (100 SHS)",11.00000,02/12/2018,02/13/2018,"$51.83 ","$60.37 ","($8.54)",-
,,,,Wash Sale,"$0.00 ","($8.54)","$8.54 ",-
GROW180216C5(3511899EC),"CALL (GROW) US GLOBAL INVESTORS FEB 16 18 $5 (100 SHS)",10.00000,02/12/2018,02/13/2018,"$47.12 ","$50.38 ","($3.26)",-
,,,,Wash Sale,"$0.00 ","($3.26)","$3.26 ",-
GROW180216C5(3511899EC),"CALL (GROW) US GLOBAL INVESTORS FEB 16 18 $5 (100 SHS)",35.00000,02/12/2018,02/13/2018,"$164.92 ","$176.32 ","($11.40)",-
,,,,Wash Sale,"$0.00 ","($6.19)","$6.19 ",-
GROW180216C5(3511899EC),"CALL (GROW) US GLOBAL INVESTORS FEB 16 18 $5 (100 SHS)",4.00000,02/12/2018,02/13/2018,"$18.85 ","$20.15 ","($1.30)",-
GROW180216C5(3511899EC),"CALL (GROW) US GLOBAL INVESTORS FEB 16 18 $5 (100 SHS)",11.00000,02/12/2018,02/13/2018,"$51.82 ","$63.95 ","($12.13)",-
GROW180216C5(3511899EC),"CALL (GROW) US GLOBAL INVESTORS FEB 16 18 $5 (100 SHS)",19.00000,02/12/2018,02/13/2018,"$89.52 ","$101.91 ","($12.39)",-
GROW180216C5(3511899EC),"CALL (GROW) US GLOBAL INVESTORS FEB 16 18 $5 (100 SHS)",10.00000,02/12/2018,02/13/2018,"$47.12 ","$53.64 ","($6.52)",-
HES180824C63.5(3775959WS),"CALL (HES) HESS CORP COM AUG 24 18 $63.5 (100 SHS)",1.00000,07/20/2018,08/22/2018,"$114.19 ","$310.64 ","($196.45)",-
HES180824C63.5(3775959WS),"CALL (HES) HESS CORP COM AUG 24 18 $63.5 (100 SHS)",1.00000,07/25/2018,08/22/2018,"$114.19 ","$285.64 ","($171.45)",-
HES180824C63.5(3775959WS),"CALL (HES) HESS CORP COM AUG 24 18 $63.5 (100 SHS)",3.00000,08/15/2018,08/22/2018,"$342.57 ","$193.00 ","$149.57 ",-
HES180824C63.5(3775959WS),"CALL (HES) HESS CORP COM AUG 24 18 $63.5 (100 SHS)",1.00000,08/16/2018,08/22/2018,"$114.19 ","$85.98 ","$28.21 ",-
HES180824C63.5(3775959WS),"CALL (HES) HESS CORP COM AUG 24 18 $63.5 (100 SHS)",4.00000,08/16/2018,08/22/2018,"$456.76 ","$323.39 ","$133.37 ",-
HES180824C63.5(3775959WS),"CALL (HES) HESS CORP COM AUG 24 18 $63.5 (100 SHS)",10.00000,08/20/2018,08/22/2018,"$1141.91 ","$751.79 ","$390.12 ",-
HES180824C63.5(3775959WS),"CALL (HES) HESS CORP COM AUG 24 18 $63.5 (100 SHS)",10.00000,08/21/2018,08/22/2018,"$1141.91 ","$801.79 ","$340.12 ",-
HES180824C63.5(3775959WS),"CALL (HES) HESS CORP COM AUG 24 18 $63.5 (100 SHS)",10.00000,08/21/2018,08/22/2018,"$1141.90 ","$831.79 ","$310.11 ",-
HMNY180420C5(3595929EY),"CALL (HMNY) HELIOS &MATHESON APR 20 18 $5 (100 SHS)",10.00000,04/17/2018,04/20/2018,"$199.11 ","$0.00 ","$199.11 ",-
IDEX(45166V106),"IDEANOMICS INC COM USD0.001",745.00000,01/04/2018,04/24/2018,"$1914.08 ","$5420.27 ","($3506.19)",-
IDEX(45166V106),"IDEANOMICS INC COM USD0.001",200.00000,01/04/2018,04/24/2018,"$513.85 ","$1508.55 ","($994.70)",-
IDEX(45166V106),"IDEANOMICS INC COM USD0.001",595.00000,01/04/2018,04/24/2018,"$1528.70 ","$4487.70 ","($2959.00)",-
IDEX(45166V106),"IDEANOMICS INC COM USD0.001",255.00000,12/30/2017,04/10/2018,"$734.48 ","$1780.31 ","($1045.83)",-
IDEX(45166V106),"IDEANOMICS INC COM USD0.001",1900.00000,01/04/2018,02/13/2018,"$6066.53 ","$11125.74 ","($5059.21)",-
