Symbol(CUSIP),Security Description,Quantity,Date Acquired,Date Sold,Proceeds,Cost Basis,Short Term Gain/Loss,Long Term Gain/Loss
NUGT171020C35.5(3403449HB),"CALL (NUGT) DIREXION SHS ETF TR OCT 20 17 $35.5 (100 SHS)",1.00000,10/06/2017,10/06/2017,"$114.35 ","$115.54 ","($1.19)",-
NUGT171020P35.5(3403449BV),"PUT (NUGT) DIREXION SHS ETF TR OCT 20 17 $35.5 (100 SHS)",1.00000,10/10/2017,10/19/2017,"$177.35 ","$232.64 ","($55.29)",-
NUGT171222P30.5(3461119MG),"PUT (NUGT) DIREXION SHS ETF TR DEC 22 17 $30.5 (100 SHS)",5.00000,11/30/2017,12/13/2017,"$1411.55 ","$2318.41 ","($906.86)",-
NXTD(67091J206),"NXT ID INC COM NEW",100.00000,12/18/2017,12/21/2017,"$493.98 ","$189.46 ","$304.52 ",-
NXTD(67091J206),"NXT ID INC COM NEW",500.00000,12/18/2017,12/21/2017,"$2459.99 ","$947.27 ","$1512.72 ",-
NXTD(67091J206),"NXT ID INC COM NEW",400.00000,12/18/2017,12/21/2017,"$1978.19 ","$757.82 ","$1220.37 ",-
NXTD(67091J206),"NXT ID INC COM NEW",1000.00000,12/19/2017,12/21/2017,"$4945.49 ","$1704.95 ","$3240.54 ",-
OTIC(68906L105),"OTONOMY INC COM",1000.00000,11/09/2017,11/13/2017,"$5171.03 ","$5754.95 ","($583.92)",-
RIOT171215P22.5(3503659VP),"PUT (RIOT) RIOT BLOCKCHAIN INC DEC 15 17 $22.5 (100 SHS)",1.00000,12/11/2017,12/12/2017,"$234.35 ","$85.19 ","$149.16 ",-
RIOT171215P22.5(3503659VP),"PUT (RIOT) RIOT BLOCKCHAIN INC DEC 15 17 $22.5 (100 SHS)",9.00000,12/11/2017,12/12/2017,"$2153.73 ","$766.68 ","$1387.05 ",-
RIOT171215P30(3504719PP),"PUT (RIOT) RIOT BLOCKCHAIN INC DEC 15 17 $30 (100 SHS)",10.00000,12/12/2017,12/15/2017,"$3988.03 ","$2011.87 ","$1976.16 ",-
RIOT180119C30(3504719SS),"CALL (RIOT) RIOT BLOCKCHAIN INC JAN 19 18 $30 (100 SHS)",10.00000,12/12/2017,12/18/2017,"$4988.01 ","$3111.87 ","$1876.14 ",-
RIOT180119P22.5(3503669FF),"PUT (RIOT) RIOT BLOCKCHAIN INC JAN 19 18 $22.5 (100 SHS)",5.00000,12/11/2017,12/13/2017,"$3096.51 ","$2645.94 ","$450.57 ",-
RIOT180119P22.5(3503669FF),"PUT (RIOT) RIOT BLOCKCHAIN INC JAN 19 18 $22.5 (100 SHS)",5.00000,12/11/2017,12/13/2017,"$3016.52 ","$2645.93 ","$370.59 ",-
RIOT180119P34(3505009EY),"PUT (RIOT) RIOT BLOCKCHAIN INC JAN 19 18 $34 (100 SHS)",5.00000,12/12/2017,12/13/2017,"$6096.44 ","$7248.41 ","($1151.97)",-
ROKU171222P53(3491819NH),"PUT (ROKU) ROKU INC COM CL A DEC 22 17 $53 (100 SHS)",2.00000,12/15/2017,12/18/2017,"$801.65 ","$270.37 ","$531.28 ",-
ROKU171222P53(3491819NH),"PUT (ROKU) ROKU INC COM CL A DEC 22 17 $53 (100 SHS)",8.00000,12/15/2017,12/18/2017,"$3213.44 ","$1081.50 ","$2131.94 ",-
RVNC(761330109),"REVANCE THERAPEUTICSINC COM",100.00000,12/05/2017,12/12/2017,"$3469.96 ","$3539.40 ","($69.44)",-
RVNC171215C35(3447219VV),"CALL (RVNC) REVANCE THERAPEUTICSDEC 15 17 $35 (100 SHS)",1.00000,12/08/2017,12/12/2017,"$94.95 ","$125.64 ","($30.69)",-
S(85207U105),"SPRINT CORPORATION COM",100.00000,07/28/2017,10/26/2017,"$711.53 ","$861.60 ","($150.07)",-
